# IODP371 site U1508 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
126.6084	1.7668	1.5999
126.7608	1.7600	1.5999
126.9132	1.7644	1.6000
127.0656	1.7658	1.6001
127.2180	1.7696	1.6002
127.3704	1.7684	1.6003
127.5228	1.7674	1.6004
127.6752	1.7630	1.6004
127.8276	1.7598	1.6005
127.9800	1.7528	1.6006
128.1324	1.7510	1.6007
128.2848	1.7504	1.6008
128.4372	1.7512	1.6009
128.5896	1.7469	1.6010
128.7420	1.7492	1.6010
128.8944	1.7562	1.6011
129.0468	1.7635	1.6012
129.1992	1.7673	1.6013
129.3516	1.7676	1.6014
129.5040	1.7634	1.6015
129.6564	1.7529	1.6016
129.8088	1.7384	1.6016
129.9612	1.7213	1.6017
130.1136	1.7037	1.6018
130.2660	1.7043	1.6019
130.4184	1.7085	1.6020
130.5708	1.7308	1.6021
130.7232	1.7413	1.6021
130.8756	1.7497	1.6022
131.0280	1.7438	1.6023
131.1804	1.7485	1.6024
131.3328	1.7534	1.6025
131.4852	1.7587	1.6026
131.6376	1.7661	1.6027
131.7900	1.7626	1.6027
131.9424	1.7661	1.6028
132.0948	1.7640	1.6029
132.2472	1.7543	1.6030
132.3996	1.7513	1.6031
132.5520	1.7508	1.6032
132.7044	1.7485	1.6033
132.8568	1.7355	1.6034
133.0092	1.7299	1.6034
133.1616	1.7277	1.6035
133.3140	1.7199	1.6036
133.4664	1.7170	1.6037
133.6188	1.7194	1.6038
133.7712	1.7284	1.6039
133.9236	1.7254	1.6040
134.0760	1.7341	1.6040
134.2284	1.7411	1.6041
134.3808	1.7435	1.6042
134.5332	1.7533	1.6043
134.6856	1.7511	1.6044
134.8380	1.7419	1.6045
134.9904	1.7405	1.6046
135.1428	1.7276	1.6047
135.2952	1.7187	1.6047
135.4476	1.7145	1.6048
135.6000	1.7154	1.6049
135.7524	1.7286	1.6050
135.9048	1.7333	1.6051
136.0572	1.7373	1.6052
136.2096	1.7388	1.6053
136.3620	1.7395	1.6054
136.5144	1.7406	1.6054
136.6668	1.7398	1.6055
136.8192	1.7331	1.6056
136.9716	1.7282	1.6057
137.1240	1.7267	1.6058
137.2764	1.7251	1.6059
137.4288	1.7318	1.6060
137.5812	1.7194	1.6061
137.7336	1.7197	1.6061
137.8860	1.7340	1.6062
138.0384	1.7391	1.6063
138.1908	1.7461	1.6064
138.3432	1.7530	1.6065
138.4956	1.7545	1.6066
138.6480	1.7519	1.6067
138.8004	1.7532	1.6068
138.9528	1.7534	1.6069
139.1052	1.7567	1.6069
139.2576	1.7587	1.6070
139.4100	1.7559	1.6071
139.5624	1.7534	1.6072
139.7148	1.7575	1.6073
139.8672	1.7625	1.6074
140.0196	1.7681	1.6075
140.1720	1.7721	1.6076
140.3244	1.7777	1.6077
140.4768	1.7836	1.6077
140.6292	1.7759	1.6078
140.7816	1.7617	1.6079
140.9340	1.7624	1.6080
141.0864	1.7743	1.6081
141.2388	1.7753	1.6082
141.3912	1.7678	1.6083
141.5436	1.7633	1.6084
141.6960	1.7606	1.6085
