# IODP371 site U1510 Rate of penetration (ROP) and Weight on bit (WOB) data. Data are only available for below 150 m in the borehole.
depth_(m)	ROP_(m/s)	WOB_(kN)
196.9910	0.0063	206.1370
197.0410	0.0057	206.1370
197.0910	0.0054	205.9430
197.1410	0.0054	201.5330
197.1910	0.0054	194.3510
197.2410	0.0054	175.0850
197.2910	0.0054	174.5100
197.3410	0.0054	174.5100
197.3910	0.0054	174.5100
197.4410	0.0054	174.5100
197.4910	0.0054	174.7300
197.5410	0.0054	188.4170
197.5910	0.0054	191.0440
197.6410	0.0054	191.0440
197.6910	0.0054	193.1110
197.7410	0.0054	195.1590
197.7910	0.0054	195.1620
197.8410	0.0054	202.6660
197.8910	0.0054	203.8140
197.9410	0.0054	204.7510
197.9910	0.0056	205.7450
198.0410	0.0058	207.7570
198.0910	0.0066	209.4120
198.1410	0.0067	210.5790
198.1910	0.0068	213.0220
198.2410	0.0069	213.0360
198.2910	0.0069	213.1360
198.3410	0.0078	213.1360
198.3910	0.0078	213.1360
198.4410	0.0078	213.0760
198.4910	0.0078	213.0760
198.5410	0.0078	207.9990
198.5910	0.0067	205.9450
198.6410	0.0067	203.7940
198.6910	0.0067	203.2870
198.7410	0.0067	203.2870
198.7910	0.0069	203.2870
198.8410	0.0070	203.2870
198.8910	0.0071	203.2870
198.9410	0.0071	203.2870
198.9910	0.0071	203.2870
199.0410	0.0071	198.0730
199.0910	0.0071	197.8380
199.1410	0.0072	197.8110
199.1910	0.0072	197.1870
199.2410	0.0072	196.4740
199.2910	0.0072	196.1530
199.3410	0.0072	196.1530
199.3910	0.0072	196.1530
199.4410	0.0072	196.1530
199.4910	0.0080	206.6860
199.5410	0.0097	208.2310
199.5910	0.0104	208.2310
199.6410	0.0104	208.2310
199.6910	0.0104	208.2310
199.7410	0.0104	205.6740
199.7910	0.0106	192.3490
199.8410	0.0106	192.3490
199.8910	0.0106	192.3490
199.9410	0.0106	192.3490
199.9910	0.0105	194.4820
200.0410	0.0104	194.9950
200.0910	0.0102	195.3340
200.1410	0.0101	195.3340
200.1910	0.0095	195.3340
200.2410	0.0094	195.3340
200.2910	0.0094	195.3340
200.3410	0.0094	194.1240
200.3910	0.0092	194.1240
200.4410	0.0090	194.1240
200.4910	0.0088	194.1240
200.5410	0.0088	194.1240
200.5910	0.0085	192.8520
200.6410	0.0085	192.8520
200.6910	0.0085	192.8520
200.7410	0.0085	180.2660
200.7910	0.0085	178.3910
200.8410	0.0085	178.3910
200.8910	0.0083	178.3910
200.9410	0.0083	178.3910
200.9910	0.0083	178.3910
201.0410	0.0083	178.3910
201.0910	0.0083	181.3710
201.1410	0.0083	190.1560
201.1910	0.0083	190.3450
201.2410	0.0083	190.7900
201.2910	0.0083	198.7810
201.3410	0.0083	198.7810
201.3910	0.0083	198.7810
201.4410	0.0083	200.0550
201.4910	0.0083	200.7080
201.5410	0.0083	200.7650
201.5910	0.0083	201.2760
201.6410	0.0083	205.2220
201.6910	0.0098	205.2220
201.7410	0.0098	205.2220
201.7910	0.0098	205.2220
201.8410	0.0098	204.7730
201.8910	0.0098	204.7730
201.9410	0.0094	204.7730
201.9910	0.0094	204.7730
202.0410	0.0092	209.1370
202.0910	0.0090	209.1370
202.1410	0.0086	209.1370
202.1910	0.0081	209.1370
202.2410	0.0075	207.5640
202.2910	0.0069	205.9910
202.3410	0.0068	204.8750
202.3910	0.0068	201.5160
202.4410	0.0068	200.6760
202.4910	0.0068	200.5020
202.5410	0.0068	200.4700
202.5910	0.0068	200.4370
202.6410	0.0068	200.4040
202.6910	0.0068	196.3530
202.7410	0.0066	188.6530
202.7910	0.0065	187.9880
202.8410	0.0065	186.9730
202.8910	0.0065	186.6700
202.9410	0.0066	186.6700
202.9910	0.0066	186.6700
203.0410	0.0066	186.6700
203.0910	0.0065	188.6220
203.1410	0.0062	193.4360
203.1910	0.0062	194.9480
203.2410	0.0062	195.6720
203.2910	0.0062	195.6720
203.3410	0.0062	196.2270
203.3910	0.0062	196.5760
203.4410	0.0062	196.6930
203.4910	0.0062	196.7850
203.5410	0.0062	199.3260
203.5910	0.0062	199.9040
203.6410	0.0062	199.9200
203.6910	0.0062	200.1610
203.7410	0.0062	206.0760
203.7910	0.0062	206.0760
203.8410	0.0062	206.0760
203.8910	0.0060	206.0760
203.9410	0.0055	201.8550
203.9910	0.0055	201.8550
204.0410	0.0055	201.8550
204.0910	0.0055	198.7650
204.1410	0.0055	198.7650
204.1910	0.0055	198.7650
204.2410	0.0056	198.7650
204.2910	0.0057	198.8120
204.3410	0.0057	198.8120
204.3910	0.0057	198.8120
204.4410	0.0058	198.8120
204.4910	0.0066	196.7750
204.5410	0.0066	196.7750
204.5910	0.0066	196.7750
204.6410	0.0066	196.7750
204.6910	0.0069	197.4340
204.7410	0.0069	197.7960
204.7910	0.0069	197.7960
204.8410	0.0070	197.7960
204.8910	0.0071	197.7960
204.9410	0.0077	197.1490
204.9910	0.0077	195.2090
205.0410	0.0079	194.3150
205.0910	0.0079	193.8420
205.1410	0.0079	193.5050
205.1910	0.0079	191.5040
205.2410	0.0078	190.7950
205.2910	0.0078	181.1130
205.3410	0.0078	181.1130
205.3910	0.0074	181.1130
205.4410	0.0069	181.1130
205.4910	0.0067	184.4480
205.5410	0.0067	201.2110
205.5910	0.0067	218.7890
205.6410	0.0065	223.9730
205.6910	0.0062	231.8040
205.7410	0.0061	234.6680
205.7910	0.0055	234.6680
205.8410	0.0054	234.6680
205.8910	0.0053	231.8040
205.9410	0.0053	224.6910
205.9910	0.0053	215.5460
206.0410	0.0053	215.2240
206.0910	0.0053	212.3410
206.1410	0.0054	205.9990
206.1910	0.0061	204.6790
206.2410	0.0065	203.8630
206.2910	0.0065	202.6820
206.3410	0.0065	202.6820
206.3910	0.0065	202.6820
206.4410	0.0057	202.6820
206.4910	0.0050	209.2150
206.5410	0.0043	214.9280
206.5910	0.0043	216.0020
206.6410	0.0038	220.0970
206.6910	0.0038	221.8050
206.7410	0.0038	223.5840
206.7910	0.0038	225.3280
206.8410	0.0037	225.4430
206.8910	0.0037	225.5990
206.9410	0.0037	225.6620
206.9910	0.0037	232.4520
207.0410	0.0037	234.7640
207.0910	0.0039	239.6250
207.1410	0.0040	241.0030
207.1910	0.0040	241.0030
207.2410	0.0043	241.0030
207.2910	0.0060	241.0030
207.3410	0.0060	229.9660
207.3910	0.0062	229.8630
207.4410	0.0067	228.5870
207.4910	0.0067	221.6790
207.5410	0.0073	212.1310
207.5910	0.0080	208.0510
207.6410	0.0080	208.0510
207.6910	0.0084	208.0510
207.7410	0.0084	208.0510
207.7910	0.0084	208.0510
207.8410	0.0088	208.0510
207.8910	0.0088	208.0510
207.9410	0.0089	208.0510
207.9910	0.0089	208.1510
208.0410	0.0089	208.3370
208.0910	0.0089	208.5230
208.1410	0.0089	210.3910
208.1910	0.0091	217.4670
208.2410	0.0091	217.4950
208.2910	0.0091	217.4950
208.3410	0.0091	217.4950
208.3910	0.0091	217.4950
208.4410	0.0092	216.8990
208.4910	0.0092	216.8990
208.5410	0.0093	216.8990
208.5910	0.0094	216.8990
208.6410	0.0096	218.4320
208.6910	0.0096	218.4320
208.7410	0.0096	218.5100
208.7910	0.0096	218.5400
208.8410	0.0096	219.0720
208.8910	0.0099	219.0720
208.9410	0.0100	218.5100
208.9910	0.0102	217.3310
209.0410	0.0103	210.5550
209.0910	0.0105	207.2300
209.1410	0.0106	206.4230
209.1910	0.0107	206.4230
209.2410	0.0108	206.4230
209.2910	0.0108	206.4230
209.3410	0.0108	206.4230
209.3910	0.0109	206.4330
209.4410	0.0109	209.4350
209.4910	0.0109	209.5930
209.5410	0.0109	209.7740
209.5910	0.0110	210.2550
209.6410	0.0110	212.0410
209.6910	0.0110	212.0410
209.7410	0.0109	212.0410
209.7910	0.0109	212.0410
209.8410	0.0109	212.1680
209.8910	0.0106	212.1680
209.9410	0.0100	212.1680
209.9910	0.0094	214.0950
210.0410	0.0090	215.4820
210.0910	0.0090	216.4070
210.1410	0.0090	216.4070
210.1910	0.0090	216.4070
210.2410	0.0090	216.4070
210.2910	0.0092	211.7850
210.3410	0.0092	204.7020
210.3910	0.0092	204.7020
210.4410	0.0092	204.7020
210.4910	0.0092	204.7020
210.5410	0.0092	206.0430
210.5910	0.0092	208.3620
210.6410	0.0092	208.8830
210.6910	0.0092	211.0050
210.7410	0.0092	216.1940
210.7910	0.0092	218.8910
210.8410	0.0091	221.8100
210.8910	0.0089	223.6850
210.9410	0.0089	223.9850
210.9910	0.0089	223.9850
211.0410	0.0087	225.8130
211.0910	0.0086	225.8130
211.1410	0.0085	225.8130
211.1910	0.0085	225.8130
211.2410	0.0084	221.6470
211.2910	0.0084	211.3300
211.3410	0.0084	210.0540
211.3910	0.0084	206.1260
211.4410	0.0084	206.1260
211.4910	0.0084	206.1260
211.5410	0.0084	206.1260
211.5910	0.0086	207.5980
211.6410	0.0088	211.8720
211.6910	0.0088	211.8720
211.7410	0.0088	211.8720
211.7910	0.0086	211.8720
211.8410	0.0086	211.8720
211.8910	0.0085	211.8720
211.9410	0.0084	211.8720
211.9910	0.0084	211.8720
212.0410	0.0084	211.8720
212.0910	0.0084	211.8720
212.1410	0.0084	212.4480
212.1910	0.0084	216.6260
212.2410	0.0083	218.5900
212.2910	0.0082	218.5900
212.3410	0.0078	218.5900
212.3910	0.0077	218.5900
212.4410	0.0075	217.8800
212.4910	0.0075	214.5330
212.5410	0.0075	214.5330
212.5910	0.0075	214.5330
212.6410	0.0077	214.5330
212.6910	0.0080	217.2390
212.7410	0.0080	220.0570
212.7910	0.0080	220.0570
212.8410	0.0080	220.0570
212.8910	0.0080	222.2290
212.9410	0.0085	225.2800
212.9910	0.0086	225.4670
213.0410	0.0086	238.1270
213.0910	0.0086	238.1270
213.1410	0.0086	238.1270
213.1910	0.0085	238.1270
213.2410	0.0080	238.1270
213.2910	0.0070	237.0490
213.3410	0.0070	237.0490
213.3910	0.0067	235.4140
213.4410	0.0067	235.4140
213.4910	0.0067	235.4140
213.5410	0.0067	235.4140
213.5910	0.0076	235.2250
213.6410	0.0080	235.2250
213.6910	0.0081	235.2250
213.7410	0.0083	235.2250
213.7910	0.0085	235.3870
213.8410	0.0085	235.4340
213.8910	0.0085	235.4650
213.9410	0.0085	235.5080
213.9910	0.0084	235.5290
214.0410	0.0084	235.5290
214.0910	0.0084	235.5080
214.1410	0.0084	235.4650
214.1910	0.0082	234.1810
214.2410	0.0081	234.1490
214.2910	0.0081	232.5440
214.3410	0.0081	226.9460
214.3910	0.0081	223.3050
214.4410	0.0081	223.0150
214.4910	0.0083	223.0150
214.5410	0.0102	223.0150
214.5910	0.0102	223.0150
214.6410	0.0102	225.2880
214.6910	0.0102	225.6600
214.7410	0.0102	227.7250
214.7910	0.0102	230.4870
214.8410	0.0102	231.4250
214.8910	0.0102	232.1310
214.9410	0.0102	232.3970
214.9910	0.0102	232.7660
215.0410	0.0101	237.9090
215.0910	0.0100	239.1090
215.1410	0.0097	294.3860
215.1910	0.0096	294.4510
215.2410	0.0093	294.4510
215.2910	0.0092	294.4510
215.3410	0.0091	294.4510
215.3910	0.0091	285.7890
215.4410	0.0089	270.5680
215.4910	0.0089	260.1620
215.5410	0.0089	260.1620
215.5910	0.0089	259.0580
215.6410	0.0091	256.1520
215.6910	0.0092	253.7490
215.7410	0.0094	253.2400
215.7910	0.0094	249.8200
215.8410	0.0095	244.7340
215.8910	0.0097	243.7830
215.9410	0.0097	243.2390
215.9910	0.0097	243.2390
216.0410	0.0097	243.2390
216.0910	0.0099	243.2390
216.1410	0.0100	243.2620
216.1910	0.0104	243.2630
216.2410	0.0107	247.2450
216.2910	0.0110	261.5960
216.3410	0.0110	269.8890
216.3910	0.0110	271.9990
216.4410	0.0110	272.3010
216.4910	0.0110	283.7210
216.5410	0.0110	283.7210
216.5910	0.0110	283.7210
216.6410	0.0103	283.7210
216.6910	0.0093	265.7520
216.7410	0.0091	250.4380
216.7910	0.0091	250.4380
216.8410	0.0088	231.9830
216.8910	0.0088	224.7910
216.9410	0.0088	223.5020
216.9910	0.0091	220.5820
217.0410	0.0091	217.7290
217.0910	0.0104	217.7290
217.1410	0.0108	217.7290
217.1910	0.0108	217.7290
217.2410	0.0108	218.2990
217.2910	0.0108	218.2990
217.3410	0.0108	218.2990
217.3910	0.0108	218.7090
217.4410	0.0108	218.7090
217.4910	0.0108	218.7090
217.5410	0.0108	218.7090
217.5910	0.0108	218.7090
217.6410	0.0108	218.7090
217.6910	0.0108	218.7090
217.7410	0.0106	218.9040
217.7910	0.0105	219.3460
217.8410	0.0102	225.9020
217.8910	0.0102	225.9020
217.9410	0.0102	225.9020
217.9910	0.0102	225.9020
218.0410	0.0112	225.9020
218.0910	0.0116	229.6090
218.1410	0.0118	239.9440
218.1910	0.0119	250.2780
218.2410	0.0127	263.8090
218.2910	0.0132	274.6760
218.3410	0.0132	274.6760
218.3910	0.0132	274.6760
218.4410	0.0132	274.6760
218.4910	0.0132	274.6760
218.5410	0.0132	274.6760
218.5910	0.0132	274.6760
218.6410	0.0132	274.6760
218.6910	0.0132	274.6760
218.7410	0.0132	274.6760
218.7910	0.0132	274.6760
218.8410	0.0132	274.6760
218.8910	0.0132	274.6760
218.9410	0.0132	274.6760
218.9910	0.0132	274.6760
219.0410	0.0130	264.3690
219.0910	0.0130	259.4720
219.1410	0.0130	258.6360
219.1910	0.0129	256.2680
219.2410	0.0129	256.0610
219.2910	0.0129	255.0600
219.3410	0.0129	253.8710
219.3910	0.0129	253.8690
219.4410	0.0122	250.8660
219.4910	0.0118	250.2900
219.5410	0.0118	241.2480
219.5910	0.0118	241.1410
219.6410	0.0118	241.1410
219.6910	0.0119	239.7360
219.7410	0.0121	239.7360
219.7910	0.0123	239.7360
219.8410	0.0125	239.7360
219.8910	0.0125	239.7360
219.9410	0.0127	239.7360
219.9910	0.0131	239.7360
220.0410	0.0134	239.7360
220.0910	0.0136	239.7080
220.1410	0.0137	239.5710
220.1910	0.0143	239.5710
220.2410	0.0143	228.0550
220.2910	0.0144	225.8380
220.3410	0.0146	222.3170
220.3910	0.0146	222.3170
220.4410	0.0146	222.3170
220.4910	0.0146	222.3170
220.5410	0.0146	223.1360
220.5910	0.0146	224.2750
220.6410	0.0146	225.4140
220.6910	0.0146	225.9550
220.7410	0.0145	231.2990
220.7910	0.0145	244.6230
220.8410	0.0145	247.1410
220.8910	0.0145	253.1900
220.9410	0.0145	253.4070
220.9910	0.0145	253.4070
221.0410	0.0145	253.4070
221.0910	0.0125	253.4070
221.1410	0.0124	251.8470
221.1910	0.0121	245.3890
221.2410	0.0121	245.3890
221.2910	0.0120	242.6140
221.3410	0.0117	241.7800
221.3910	0.0111	241.7800
221.4410	0.0109	241.1930
221.4910	0.0109	240.4740
221.5410	0.0108	240.4740
221.5910	0.0108	240.4740
221.6410	0.0106	240.4740
221.6910	0.0105	240.4740
221.7410	0.0105	240.4740
221.7910	0.0104	241.2040
221.8410	0.0104	242.3330
221.8910	0.0103	244.4340
221.9410	0.0103	244.7400
221.9910	0.0103	244.7560
222.0410	0.0102	245.3270
222.0910	0.0100	245.7500
222.1410	0.0099	247.0260
222.1910	0.0097	248.0810
222.2410	0.0097	248.0810
222.2910	0.0097	248.0810
222.3410	0.0097	249.5000
222.3910	0.0097	249.5000
222.4410	0.0097	249.5000
222.4910	0.0097	249.4460
222.5410	0.0096	249.4460
222.5910	0.0095	249.4460
222.6410	0.0095	249.4460
222.6910	0.0094	241.0360
222.7410	0.0092	238.3740
222.7910	0.0084	235.0570
222.8410	0.0083	235.0570
222.8910	0.0083	235.0570
222.9410	0.0079	235.0570
222.9910	0.0079	235.3850
223.0410	0.0079	235.3850
223.0910	0.0079	235.3850
223.1410	0.0084	235.5550
223.1910	0.0084	235.5550
223.2410	0.0084	235.5550
223.2910	0.0084	235.5550
223.3410	0.0084	235.5550
223.3910	0.0084	235.5750
223.4410	0.0085	235.7560
223.4910	0.0085	235.7980
223.5410	0.0085	235.7980
223.5910	0.0085	235.7980
223.6410	0.0089	240.3320
223.6910	0.0089	242.6100
223.7410	0.0096	253.8780
223.7910	0.0097	255.5090
223.8410	0.0098	255.5090
223.8910	0.0098	255.5090
223.9410	0.0099	255.5090
223.9910	0.0100	248.7060
224.0410	0.0100	247.2720
224.0910	0.0100	239.7890
224.1410	0.0100	239.7890
224.1910	0.0100	235.8890
224.2410	0.0101	235.8890
224.2910	0.0101	235.8890
224.3410	0.0101	235.8890
224.3910	0.0102	236.1640
224.4410	0.0102	236.1640
224.4910	0.0104	236.3240
224.5410	0.0106	237.2250
224.5910	0.0108	240.6570
224.6410	0.0108	254.5300
224.6910	0.0109	254.5300
224.7410	0.0111	254.5300
224.7910	0.0111	254.5300
224.8410	0.0111	254.0860
224.8910	0.0111	253.6110
224.9410	0.0111	253.4940
224.9910	0.0111	253.4940
225.0410	0.0107	252.1020
225.0910	0.0102	250.2990
225.1410	0.0095	243.1350
225.1910	0.0094	241.7130
225.2410	0.0093	240.7370
225.2910	0.0092	240.4430
225.3410	0.0092	240.4430
225.3910	0.0092	240.4430
225.4410	0.0091	240.4430
225.4910	0.0091	240.4430
225.5410	0.0087	239.6490
225.5910	0.0087	233.3760
225.6410	0.0087	232.1950
225.6910	0.0087	229.0060
225.7410	0.0089	215.1970
225.7910	0.0089	203.5180
225.8410	0.0089	203.5180
225.8910	0.0089	203.5180
225.9410	0.0089	203.5180
225.9910	0.0086	205.4010
226.0410	0.0086	220.5940
226.0910	0.0080	235.3940
226.1410	0.0080	238.3720
226.1910	0.0076	261.9710
226.2410	0.0075	263.2510
226.2910	0.0073	265.0960
226.3410	0.0071	265.3790
226.3910	0.0068	265.3790
226.4410	0.0062	265.3790
226.4910	0.0056	265.3790
226.5410	0.0056	262.0790
226.5910	0.0056	262.0790
226.6410	0.0056	262.0790
226.6910	0.0056	262.0790
226.7410	0.0056	265.0090
226.7910	0.0058	274.3380
226.8410	0.0059	274.3380
226.8910	0.0059	274.3380
226.9410	0.0059	274.3380
226.9910	0.0060	268.0750
227.0410	0.0060	260.0880
227.0910	0.0061	259.2240
227.1410	0.0061	258.8560
227.1910	0.0061	257.9040
227.2410	0.0061	257.0590
227.2910	0.0061	252.6670
227.3410	0.0061	246.7520
227.3910	0.0060	246.7520
227.4410	0.0060	246.7520
227.4910	0.0058	246.7520
227.5410	0.0058	248.3920
227.5910	0.0058	248.8660
227.6410	0.0058	249.3690
227.6910	0.0058	251.2680
227.7410	0.0058	251.3880
227.7910	0.0058	251.3880
227.8410	0.0058	251.3880
227.8910	0.0058	251.3880
227.9410	0.0058	251.3400
227.9910	0.0059	251.3400
228.0410	0.0059	251.3400
228.0910	0.0059	250.4770
228.1410	0.0060	250.4770
228.1910	0.0065	251.4030
228.2410	0.0065	251.8710
228.2910	0.0065	251.8710
228.3410	0.0065	251.8710
228.3910	0.0058	249.7030
228.4410	0.0055	245.0340
228.4910	0.0049	245.0340
228.5410	0.0045	245.0340
228.5910	0.0042	245.0340
228.6410	0.0042	245.0340
228.6910	0.0042	247.1720
228.7410	0.0042	249.1030
228.7910	0.0043	258.2110
228.8410	0.0043	267.4570
228.8910	0.0043	267.7290
228.9410	0.0043	268.4680
228.9910	0.0042	268.7740
229.0410	0.0040	269.8190
229.0910	0.0040	272.4980
229.1410	0.0039	272.9850
229.1910	0.0039	274.1860
229.2410	0.0039	278.2970
229.2910	0.0039	278.2970
229.3410	0.0041	278.2970
229.3910	0.0041	278.2970
229.4410	0.0041	271.1640
229.4910	0.0041	268.4370
229.5410	0.0034	264.0140
229.5910	0.0032	263.1080
229.6410	0.0030	263.1080
229.6910	0.0028	263.1080
229.7410	0.0027	262.2010
229.7910	0.0026	262.2010
229.8410	0.0026	263.1990
229.8910	0.0026	263.6630
229.9410	0.0026	266.0380
229.9910	0.0026	266.1570
230.0410	0.0026	267.1550
230.0910	0.0026	267.1550
230.1410	0.0026	267.1550
230.1910	0.0027	267.1550
230.2410	0.0027	257.5640
230.2910	0.0027	230.3420
230.3410	0.0039	225.9230
230.3910	0.0060	220.8840
230.4410	0.0062	220.8840
230.4910	0.0062	220.8840
230.5410	0.0062	220.8840
230.5910	0.0064	220.8840
230.6410	0.0064	220.8840
230.6910	0.0064	220.8840
230.7410	0.0068	220.8840
230.7910	0.0071	221.5380
230.8410	0.0071	221.5380
230.8910	0.0071	221.5380
230.9410	0.0071	221.5380
230.9910	0.0072	229.0960
231.0410	0.0078	235.0080
231.0910	0.0078	235.0080
231.1410	0.0078	235.0080
231.1910	0.0078	235.0080
231.2410	0.0078	234.4070
231.2910	0.0080	230.5460
231.3410	0.0080	230.5460
231.3910	0.0080	230.5460
231.4410	0.0080	230.5460
231.4910	0.0080	230.5460
231.5410	0.0080	230.5460
231.5910	0.0080	230.5460
231.6410	0.0080	224.3610
231.6910	0.0080	224.3610
231.7410	0.0080	224.3610
231.7910	0.0080	224.3610
231.8410	0.0080	225.3280
231.8910	0.0080	225.3280
231.9410	0.0094	237.7520
231.9910	0.0097	239.1200
232.0410	0.0097	239.1200
232.0910	0.0097	239.1200
232.1410	0.0097	239.1200
232.1910	0.0096	224.9410
232.2410	0.0093	218.7400
232.2910	0.0088	217.9990
232.3410	0.0088	214.9400
232.3910	0.0087	214.5810
232.4410	0.0087	214.5810
232.4910	0.0081	214.5810
232.5410	0.0081	214.5810
232.5910	0.0080	219.8140
232.6410	0.0080	224.7960
232.6910	0.0078	225.5240
232.7410	0.0062	225.5240
232.7910	0.0056	225.5240
232.8410	0.0056	225.5240
232.8910	0.0056	225.5240
232.9410	0.0056	225.5240
232.9910	0.0056	225.5240
233.0410	0.0056	225.5240
233.0910	0.0056	225.5240
233.1410	0.0056	225.5240
233.1910	0.0055	227.1010
233.2410	0.0055	245.7790
233.2910	0.0055	246.2060
233.3410	0.0055	249.8940
233.3910	0.0055	250.1410
233.4410	0.0055	250.1410
233.4910	0.0056	250.1410
233.5410	0.0066	250.1410
233.5910	0.0066	241.6510
233.6410	0.0068	236.7110
233.6910	0.0068	236.3440
233.7410	0.0072	235.5540
233.7910	0.0074	235.5540
233.8410	0.0075	235.5540
233.8910	0.0075	235.5540
233.9410	0.0075	235.5540
233.9910	0.0075	235.5540
234.0410	0.0074	235.5540
234.0910	0.0074	235.5540
234.1410	0.0074	235.5540
234.1910	0.0074	235.5540
234.2410	0.0074	227.8530
234.2910	0.0074	210.4490
234.3410	0.0074	210.4490
234.3910	0.0074	210.4490
234.4410	0.0076	209.1540
234.4910	0.0078	205.3640
234.5410	0.0079	204.5910
234.5910	0.0079	203.8180
234.6410	0.0081	198.3760
234.6910	0.0081	198.3760
234.7410	0.0081	198.3760
234.7910	0.0085	196.8540
234.8410	0.0097	195.7430
234.8910	0.0099	195.7430
234.9410	0.0101	195.7430
234.9910	0.0103	195.7430
235.0410	0.0104	195.7430
235.0910	0.0104	195.7430
235.1410	0.0104	195.7430
235.1910	0.0104	195.7430
235.2410	0.0104	195.5120
235.2910	0.0104	195.5120
235.3410	0.0104	195.5120
235.3910	0.0103	195.3430
235.4410	0.0103	195.3430
235.4910	0.0103	195.3430
235.5410	0.0102	192.3880
235.5910	0.0102	189.7380
235.6410	0.0101	186.7730
235.6910	0.0094	173.7240
235.7410	0.0084	173.7240
235.7910	0.0084	173.7240
235.8410	0.0084	173.7240
235.8910	0.0084	177.6450
235.9410	0.0084	184.7670
235.9910	0.0084	186.0900
236.0410	0.0084	187.4030
236.0910	0.0085	187.4870
236.1410	0.0088	189.7590
236.1910	0.0089	191.6030
236.2410	0.0089	191.6040
236.2910	0.0089	191.6050
236.3410	0.0090	192.0770
236.3910	0.0092	192.0790
236.4410	0.0093	192.1210
236.4910	0.0093	192.8980
236.5410	0.0093	193.7750
236.5910	0.0094	203.3650
236.6410	0.0095	204.5390
236.6910	0.0095	204.5390
236.7410	0.0098	204.5390
236.7910	0.0098	204.5390
236.8410	0.0105	197.4760
236.8910	0.0105	196.0730
236.9410	0.0105	195.4910
236.9910	0.0105	194.7690
237.0410	0.0103	191.3600
237.0910	0.0102	190.6590
237.1410	0.0102	190.6590
237.1910	0.0102	190.2050
237.2410	0.0101	190.2050
237.2910	0.0101	190.2050
237.3410	0.0101	190.2050
237.3910	0.0100	190.2050
237.4410	0.0099	190.2050
237.4910	0.0097	190.2050
237.5410	0.0092	191.8700
237.5910	0.0090	194.3020
237.6410	0.0088	194.3020
237.6910	0.0088	196.2060
237.7410	0.0088	196.2060
237.7910	0.0086	196.2060
237.8410	0.0085	200.9100
237.8910	0.0084	202.1120
237.9410	0.0084	202.1710
237.9910	0.0083	206.6230
238.0410	0.0083	206.6230
238.0910	0.0083	206.6230
238.1410	0.0083	206.6230
238.1910	0.0081	204.6830
238.2410	0.0081	204.2970
238.2910	0.0081	202.0950
238.3410	0.0081	199.5480
238.3910	0.0082	198.9770
238.4410	0.0082	198.9770
238.4910	0.0083	198.9770
238.5410	0.0084	198.9770
238.5910	0.0085	200.7830
238.6410	0.0087	201.2940
238.6910	0.0087	201.3630
238.7410	0.0091	204.5830
238.7910	0.0095	204.5830
238.8410	0.0095	204.5830
238.8910	0.0095	204.5830
238.9410	0.0095	197.8570
238.9910	0.0095	193.7100
239.0410	0.0095	193.7100
239.0910	0.0094	193.7100
239.1410	0.0080	193.7100
239.1910	0.0078	193.7100
239.2410	0.0061	193.7100
239.2910	0.0056	194.0350
239.3410	0.0052	194.4000
239.3910	0.0051	195.0360
239.4410	0.0050	195.0360
239.4910	0.0050	199.4630
239.5410	0.0049	202.3170
239.5910	0.0049	202.3170
239.6410	0.0049	202.3170
239.6910	0.0050	202.3170
239.7410	0.0050	199.3510
239.7910	0.0055	192.4470
239.8410	0.0056	192.4470
239.8910	0.0065	190.9970
239.9410	0.0066	190.9970
239.9910	0.0066	192.4470
240.0410	0.0068	193.6770
240.0910	0.0069	193.6770
240.1410	0.0069	194.4990
240.1910	0.0069	197.7850
240.2410	0.0069	197.7850
240.2910	0.0066	193.6770
240.3410	0.0066	191.9130
240.3910	0.0066	191.9130
240.4410	0.0066	197.7850
240.4910	0.0066	197.7850
240.5410	0.0067	198.1860
240.5910	0.0067	198.1860
240.6410	0.0067	198.1860
240.6910	0.0067	198.1860
240.7410	0.0067	198.1860
240.7910	0.0067	198.1860
240.8410	0.0067	198.1860
240.8910	0.0067	198.6890
240.9410	0.0067	198.7100
240.9910	0.0069	199.6600
241.0410	0.0069	199.8460
241.0910	0.0070	199.8580
241.1410	0.0071	199.8580
241.1910	0.0071	200.4530
241.2410	0.0072	200.4530
241.2910	0.0072	200.4530
241.3410	0.0074	200.4530
241.3910	0.0074	200.0480
241.4410	0.0074	199.7220
241.4910	0.0074	199.0840
241.5410	0.0074	199.0840
241.5910	0.0097	198.8170
241.6410	0.0097	197.8780
241.6910	0.0097	197.2210
241.7410	0.0097	194.0970
241.7910	0.0093	193.2210
241.8410	0.0087	187.5980
241.8910	0.0086	187.5980
241.9410	0.0081	187.5980
241.9910	0.0079	187.5980
242.0410	0.0076	192.3440
242.0910	0.0075	192.7530
242.1410	0.0075	195.0890
242.1910	0.0073	195.5790
242.2410	0.0073	195.5790
242.2910	0.0073	197.9270
242.3410	0.0073	197.9270
242.3910	0.0075	197.9270
242.4410	0.0077	197.9270
242.4910	0.0077	197.9270
242.5410	0.0077	197.9270
242.5910	0.0077	197.9270
242.6410	0.0077	197.9270
242.6910	0.0077	197.9270
242.7410	0.0077	197.9270
242.7910	0.0077	197.9270
242.8410	0.0078	193.5140
242.8910	0.0078	192.1640
242.9410	0.0078	191.3010
242.9910	0.0078	191.2550
243.0410	0.0077	191.2550
243.0910	0.0073	191.2550
243.1410	0.0073	191.3010
243.1910	0.0073	192.1640
243.2410	0.0073	193.5010
243.2910	0.0073	195.2800
