# IODP371 site U1510 Rate of penetration (ROP) and Weight on bit (WOB) data. Data are only available for below 150 m in the borehole.
depth_(m)	ROP_(m/s)	WOB_(kN)
161.8410	0.0059	254.0750
161.8910	0.0062	254.0750
161.9410	0.0062	254.0750
161.9910	0.0062	254.0750
162.0410	0.0062	250.9200
162.0910	0.0062	250.5490
162.1410	0.0062	250.0570
162.1910	0.0062	224.0670
162.2410	0.0058	206.2000
162.2910	0.0053	205.9540
162.3410	0.0050	200.6730
162.3910	0.0050	195.8070
162.4410	0.0050	195.8070
162.4910	0.0050	195.8070
162.5410	0.0050	195.8070
162.5910	0.0050	198.1990
162.6410	0.0050	199.0270
162.6910	0.0050	199.3220
162.7410	0.0050	199.4320
162.7910	0.0050	199.5410
162.8410	0.0050	199.9690
162.8910	0.0050	201.3660
162.9410	0.0050	204.6370
162.9910	0.0050	205.6360
163.0410	0.0050	212.2440
163.0910	0.0050	214.2030
163.1410	0.0050	216.6670
163.1910	0.0050	216.6670
163.2410	0.0050	216.6670
163.2910	0.0050	223.3660
163.3410	0.0050	225.4490
163.3910	0.0050	226.8280
163.4410	0.0050	227.9160
163.4910	0.0050	228.6060
163.5410	0.0050	231.3400
163.5910	0.0050	231.3400
163.6410	0.0050	231.3400
163.6910	0.0048	231.3400
163.7410	0.0047	196.6730
163.7910	0.0047	174.1090
163.8410	0.0047	152.9110
163.8910	0.0047	152.9110
163.9410	0.0047	152.9110
163.9910	0.0047	152.9110
164.0410	0.0047	152.9110
164.0910	0.0047	152.9110
164.1410	0.0047	152.9110
164.1910	0.0047	152.9110
164.2410	0.0047	152.9110
164.2910	0.0047	152.9110
164.3410	0.0047	152.9110
164.3910	0.0047	156.5480
164.4410	0.0047	174.7300
164.4910	0.0047	192.7610
164.5410	0.0044	193.7050
164.5910	0.0044	199.6750
164.6410	0.0044	204.7710
164.6910	0.0044	210.3020
164.7410	0.0044	210.3020
164.7910	0.0044	210.3020
164.8410	0.0044	210.3020
164.8910	0.0044	210.3020
164.9410	0.0045	208.1370
164.9910	0.0049	207.9320
165.0410	0.0051	206.7660
165.0910	0.0063	206.7640
165.1410	0.0091	201.6060
165.1910	0.0092	201.6060
165.2410	0.0092	201.6060
165.2910	0.0092	201.6060
165.3410	0.0092	201.5140
165.3910	0.0092	201.3560
165.4410	0.0092	201.2130
165.4910	0.0092	201.2130
165.5410	0.0092	201.2130
165.5910	0.0092	201.2130
165.6410	0.0092	201.6110
165.6910	0.0092	201.6230
165.7410	0.0092	201.6360
165.7910	0.0092	201.8600
165.8410	0.0092	207.3430
165.8910	0.0092	207.9110
165.9410	0.0092	208.5970
165.9910	0.0092	210.8050
166.0410	0.0092	215.1300
166.0910	0.0092	216.9080
166.1410	0.0092	217.0860
166.1910	0.0092	217.1320
166.2410	0.0092	217.1320
166.2910	0.0092	217.1320
166.3410	0.0110	217.1320
166.3910	0.0129	194.3910
166.4410	0.0129	194.3910
166.4910	0.0129	194.3910
166.5410	0.0129	194.3910
166.5910	0.0129	194.3910
166.6410	0.0129	194.1770
166.6910	0.0129	193.6750
166.7410	0.0129	193.1480
166.7910	0.0129	193.0740
166.8410	0.0129	193.0740
166.8910	0.0132	193.0740
166.9410	0.0132	193.0740
166.9910	0.0132	193.0740
167.0410	0.0132	193.0740
167.0910	0.0132	195.9570
167.1410	0.0132	196.6260
167.1910	0.0132	196.6260
167.2410	0.0132	196.6260
167.2910	0.0132	196.6260
167.3410	0.0132	196.2250
167.3910	0.0132	195.6560
167.4410	0.0132	195.3400
167.4910	0.0132	195.0240
167.5410	0.0132	194.6610
167.5910	0.0132	179.7650
167.6410	0.0132	179.7650
167.6910	0.0132	179.7650
167.7410	0.0131	179.7650
167.7910	0.0097	183.8570
167.8410	0.0097	186.1050
167.8910	0.0097	186.7130
167.9410	0.0097	187.3210
167.9910	0.0097	187.5760
168.0410	0.0098	192.1140
168.0910	0.0098	193.6900
168.1410	0.0098	200.7410
168.1910	0.0098	201.3440
168.2410	0.0098	203.4790
168.2910	0.0098	206.9340
168.3410	0.0098	207.5440
168.3910	0.0098	207.5440
168.4410	0.0098	207.5440
168.4910	0.0098	207.5440
168.5410	0.0098	208.4600
168.5910	0.0098	208.7760
168.6410	0.0098	209.3620
168.6910	0.0098	209.9470
168.7410	0.0098	211.1300
168.7910	0.0098	212.3350
168.8410	0.0098	212.8100
168.8910	0.0098	215.7790
168.9410	0.0093	220.8170
168.9910	0.0085	230.1600
169.0410	0.0081	230.1600
169.0910	0.0055	230.1600
169.1410	0.0055	230.1600
169.1910	0.0055	222.5710
169.2410	0.0055	218.8560
169.2910	0.0036	218.4860
169.3410	0.0036	218.1160
169.3910	0.0036	217.6480
169.4410	0.0036	206.5870
169.4910	0.0067	206.5870
169.5410	0.0098	206.5870
169.5910	0.0101	206.5870
169.6410	0.0104	207.4020
169.6910	0.0104	209.3320
169.7410	0.0104	209.4730
169.7910	0.0104	209.6140
169.8410	0.0104	209.7540
169.8910	0.0104	209.9750
169.9410	0.0104	210.2890
169.9910	0.0104	213.4560
170.0410	0.0104	213.4860
170.0910	0.0104	213.7390
170.1410	0.0104	214.5100
170.1910	0.0104	215.5250
170.2410	0.0104	216.5390
170.2910	0.0104	217.5780
170.3410	0.0104	217.6100
170.3910	0.0104	217.6100
170.4410	0.0104	217.6100
170.4910	0.0104	217.6240
170.5410	0.0104	217.7930
170.5910	0.0106	217.7930
170.6410	0.0106	217.7930
170.6910	0.0106	217.7930
170.7410	0.0106	215.9690
170.7910	0.0106	211.7840
170.8410	0.0106	210.7400
170.8910	0.0106	209.8730
170.9410	0.0106	205.9850
170.9910	0.0106	205.4000
171.0410	0.0106	202.5740
171.0910	0.0106	195.8280
171.1410	0.0105	193.1420
171.1910	0.0105	191.7800
171.2410	0.0105	191.7800
171.2910	0.0105	191.7800
171.3410	0.0105	191.7800
171.3910	0.0105	191.7800
171.4410	0.0105	191.7800
171.4910	0.0104	194.4040
171.5410	0.0104	194.4040
171.5910	0.0104	194.4040
171.6410	0.0104	194.4040
171.6910	0.0104	194.4040
171.7410	0.0104	194.4040
171.7910	0.0104	194.4040
171.8410	0.0104	194.4040
171.8910	0.0104	195.6360
171.9410	0.0104	197.5620
171.9910	0.0104	197.5620
172.0410	0.0104	197.5620
172.0910	0.0104	197.5620
172.1410	0.0104	197.5620
172.1910	0.0104	196.9060
172.2410	0.0104	196.8770
