# IODP371 site U1511 physical property data
#Raw data	(drilled section where Vp and Rho are estimated, 80-200 m)	
depth_m_bsf	velocity_m/s	density_Mg/m3
421.0700	1626.0000	1.6677
422.1900	1567.0000	1.6753
422.9200	1630.0000	1.6802
424.8500	1562.0000	1.6919
426.8200	1595.0000	1.7016
428.3000	1595.0000	1.7013
429.3800	1611.0000	1.6968
430.5900	1595.0000	1.6882
431.9400	1652.0000	1.6663
432.2900	1675.0000	1.6624
432.3100	1602.0000	1.6622
433.3400	1648.0000	1.6579
433.8500	1644.0000	1.6565
436.3200	1665.0000	1.6543
436.9500	1636.0000	1.6543
442.0600	1656.0000	1.6668
442.4900	1609.0000	1.6695
443.6800	1739.0000	1.6938
445.0700	1745.0000	1.7262
447.1200	1634.0000	1.7374
448.6100	1708.0000	1.7390
448.8000	1700.0000	1.7364
449.7900	1747.0000	1.7353
451.6900	1713.0000	1.7263
453.9900	1644.0000	1.6958
455.8800	1744.0000	1.6706
457.5300	1690.0000	1.6782
459.8600	1749.0000	1.6959
460.8800	1786.0000	1.7318
461.1100	1831.0000	1.7705
462.5400	1745.0000	1.7875
463.3400	1785.0000	1.7913
464.2100	1739.0000	1.8166
464.9600	1751.0000	1.8314
465.8000	1761.0000	1.8457
471.7300	1767.0000	1.8547
472.7000	1732.0000	1.8608
474.0800	1746.0000	1.8419
475.7500	1767.0000	1.8365
477.2000	1703.0000	1.8259
478.9600	1720.0000	1.8022
479.5300	1754.0000	1.7795
480.1900	1723.0000	1.7825
482.3300	1698.0000	1.7800
489.7900	1651.0000	1.7496
490.4200	1713.0000	1.7437
490.6800	1678.0000	1.7578
499.5500	1736.0000	1.7620
500.3100	1714.0000	1.7630
508.9700	1692.0000	1.7784
509.8800	1677.0000	1.7802
510.0200	1690.0000	1.8040
510.2900	1640.0000	1.8057
528.0200	1731.0000	1.8059
538.1500	1685.0000	1.8063
538.6300	1742.0000	1.8062
538.7800	1690.0000	1.8379
548.2500	1777.0000	1.8393
549.3600	1761.0000	1.8397
549.8300	1761.0000	1.8614
550.5800	1784.0000	1.8704
550.9800	1774.0000	1.8754
558.2500	1753.0000	1.8809
558.9300	1777.0000	1.8822
559.9300	1812.0000	1.9022
560.5400	1808.0000	1.9046
